Source	Target	Directed	Directed_Polysemy	Directed_Derivation	Directed_Other	Undirected	Undirected_Polysemy	Undirected_Derivation	Undirected_Other	OvertMarking_Languages	OvertMarking_Families	Polysemy_Languages	Polysemy_Families
STRIKE OR BEAT	PULL	0	0	0	0	3	3	0	0	0	0	0	0
STRIKE OR BEAT	SHAKE	0	0	0	0	2	2	0	0	4	4	0	0
STRIKE OR BEAT	EAT	4	4	0	0	0	0	0	0	2	2	0	0
STRIKE OR BEAT	LIE (MISLEAD)	1	1	0	0	1	1	0	0	0	0	0	0
STRIKE OR BEAT	SURPRISED	6	5	1	0	0	0	0	0	0	0	0	0
STRIKE OR BEAT	STEAL	4	4	0	0	0	0	0	0	2	2	0	0
STRIKE OR BEAT	SHOOT	5	5	0	0	10	10	0	0	10	8	6	4
STRIKE OR BEAT	KILL	4	4	0	0	16	14	1	1	8	3	23	10
STRIKE OR BEAT	FLOW	0	0	0	0	1	1	0	0	0	0	0	0
STRIKE OR BEAT	DRAW MILK	0	0	0	0	1	1	0	0	0	0	0	0
STRIKE OR BEAT	WOUND	2	1	1	0	1	1	0	0	0	0	0	0
STRIKE OR BEAT	BOAST	0	0	0	0	1	0	0	1	6	3	0	0
STRIKE OR BEAT	SPEAK	1	1	0	0	1	1	0	0	4	3	0	0
STRIKE OR BEAT	COUGH	1	1	0	0	1	1	0	0	4	3	0	0
STRIKE OR BEAT	FORGE	2	2	0	0	3	3	0	0	9	4	0	0
STRIKE OR BEAT	MOW	1	1	0	0	4	4	0	0	3	3	4	2
STRIKE OR BEAT	UNDERSTAND	0	0	0	0	1	1	0	0	0	0	0	0
STRIKE OR BEAT	DRINK	5	4	1	0	2	2	0	0	0	0	2	2
STRIKE OR BEAT	SIMILAR	1	1	0	0	0	0	0	0	0	0	0	0
STRIKE OR BEAT	COPULATE	2	2	0	0	1	1	0	0	5	5	0	0
STRIKE OR BEAT	SLEEP	1	1	0	0	1	1	0	0	0	0	0	0
STRIKE OR BEAT	BITE	2	2	0	0	1	1	0	0	2	2	0	0
STRIKE OR BEAT	CUT	0	0	0	0	1	1	0	0	3	3	0	0
STRIKE OR BEAT	SWIM	0	0	0	0	2	2	0	0	5	3	0	0
SEE	TRY	4	4	0	0	3	3	0	0	2	2	0	0
SEE	SEEM	3	2	1	0	2	2	0	0	6	4	6	3
SEE	UNDERSTAND	13	13	0	0	4	4	0	0	0	0	3	3
SEE	HEAR	1	1	0	0	8	8	0	0	6	4	0	0
SEE	LOOK FOR	12	9	1	2	0	0	0	0	0	0	0	0
SEE	SURPRISED	1	0	1	0	1	1	0	0	5	5	0	0
SEE	FIND	3	3	0	0	1	1	0	0	10	6	21	17
SEE	FEEL	0	0	0	0	2	2	0	0	6	5	4	2
SEE	AMBUSH	1	0	1	0	1	0	0	1	0	0	0	0
SEE	READ	0	0	0	0	1	1	0	0	4	4	2	2
SEE	IMITATE	0	0	0	0	2	2	0	0	0	0	0	0
EYE	STONE OR ROCK	0	0	0	0	3	2	0	1	5	3	0	0
EYE	FACE	0	0	0	0	2	1	1	0	9	7	25	10
EYE	EYELID	1	1	0	0	3	3	0	0	117	33	0	0
EYE	BEFORE	0	0	0	0	1	0	0	1	4	3	0	0
EYE	HOLE	10	10	0	0	10	10	0	0	0	0	0	0
EYE	WINDOW	1	0	1	0	5	4	1	0	8	6	0	0
EYE	WHEEL	1	1	0	0	1	1	0	0	8	2	0	0
EYE	WHIRLPOOL	0	0	0	0	1	1	0	0	2	2	0	0
EYE	SUN	1	1	0	0	1	0	0	1	20	4	0	0
FATHER	MAN	0	0	0	0	3	3	0	0	4	3	0	0
FATHER	PARENTS	13	4	8	1	0	0	0	0	104	21	2	2
FATHER	GOD	5	5	0	0	0	0	0	0	6	6	0	0
FATHER	GRANDFATHER	2	0	2	0	5	2	0	3	84	15	5	4
FATHER	MALE (OF ANIMAL)	6	6	0	0	6	6	0	0	7	5	5	4
FATHER	ANCESTORS	27	12	15	0	6	5	1	0	20	8	0	0
FATHER	MOTHER	0	0	0	0	2	0	0	2	4	3	0	0
FATHER	SON	0	0	0	0	1	0	0	1	0	0	0	0
FATHER	OLDER BROTHER	0	0	0	0	1	1	0	0	0	0	2	2
FATHER	OLDER SISTER	0	0	0	0	2	2	0	0	0	0	0	0
FATHER	HUSBAND	2	0	2	0	0	0	0	0	3	2	0	0
FATHER	BIG	1	1	0	0	4	4	0	0	4	4	0	0
FATHER	TEACHER	0	0	0	0	1	1	0	0	2	2	0	0
HEAD	BRAIN	0	0	0	0	3	1	0	2	35	21	0	0
HEAD	FOREHEAD	1	0	1	0	3	2	0	1	8	5	0	0
HEAD	MIND	7	7	0	0	9	8	0	1	8	6	4	4
HEAD	EDGE	2	2	0	0	0	0	0	0	0	0	0	0
HEAD	CAPE	0	0	0	0	1	1	0	0	8	4	0	0
HEAD	SIDE	3	3	0	0	0	0	0	0	0	0	0	0
HEAD	MONEY	2	1	1	0	3	2	1	0	0	0	0	0
HEAD	FACE	2	2	0	0	0	0	0	0	0	0	0	0
HEAD	TOP	2	1	1	0	0	0	0	0	6	4	24	10
HEAD	PUMPKIN	0	0	0	0	3	3	0	0	2	2	0	0
LIFT	PREGNANT	1	1	0	0	0	0	0	0	2	2	0	0
LIFT	SEIZE	0	0	0	0	1	1	0	0	0	0	0	0
LIFT	PLOUGH	1	1	0	0	0	0	0	0	0	0	0	0
LIFT	FINISH	1	1	0	0	1	1	0	0	0	0	0	0
LIFT	BUILD	3	3	0	0	2	2	0	0	0	0	10	5
LIFT	CAUSE	1	1	0	0	2	2	0	0	2	2	0	0
MOUTH	LIP	0	0	0	0	4	2	0	2	49	23	15	10
MOUTH	FACE	3	2	0	1	7	6	0	1	0	0	7	3
MOUTH	BEAK	0	0	0	0	5	5	0	0	33	10	20	9
MOUTH	HOLE	6	6	0	0	15	14	0	1	3	3	5	3
MOUTH	EDGE	1	1	0	0	5	5	0	0	2	2	9	8
MOUTH	SPEECH	8	8	0	0	3	3	0	0	4	2	0	0
MOUTH	CAPE	0	0	0	0	1	0	0	1	0	0	0	0
MOUTH	WOMB	0	0	0	0	1	1	0	0	0	0	0	0
MOUTH	PRECIPICE	2	2	0	0	0	0	0	0	0	0	0	0
MOUTH	NOSE	0	0	0	0	1	0	0	1	0	0	0	0
PULL	ROW	1	1	0	0	1	1	0	0	2	2	0	0
PULL	SMOKE (INHALE)	1	1	0	0	7	7	0	0	2	2	0	0
PULL	PLOUGH	0	0	0	0	1	1	0	0	0	0	0	0
PULL	STRIKE OR BEAT	0	0	0	0	3	3	0	0	0	0	0	0
PULL	PAINTING	0	0	0	0	4	4	0	0	0	0	0	0
PULL	DRINK	3	3	0	0	1	0	1	0	0	0	0	0
PULL	LAST (ENDURE)	1	1	0	0	2	2	0	0	3	3	0	0
PULL	BOW	0	0	0	0	1	1	0	0	0	0	0	0
PULL	SIMILAR	1	1	0	0	0	0	0	0	0	0	0	0
PULL	RULE	1	1	0	0	0	0	0	0	0	0	0	0
PULL	BUILD	1	1	0	0	0	0	0	0	0	0	0	0
SHARP	BITTER	2	2	0	0	1	1	0	0	0	0	0	0
SHARP	CLEVER	12	12	0	0	1	1	0	0	0	0	0	0
SHARP	BRAVE	0	0	0	0	2	2	0	0	2	2	0	0
SHARP	HOT	1	1	0	0	1	1	0	0	0	0	0	0
SHARP	BAD	1	1	0	0	0	0	0	0	0	0	0	0
SHARP	IRON	1	1	0	0	0	0	0	0	0	0	0	0
FALL	COME	0	0	0	0	1	1	0	0	0	0	0	0
FALL	BE BORN	0	0	0	0	1	1	0	0	0	0	6	3
FALL	AUTUMN	2	1	1	0	0	0	0	0	0	0	0	0
FALL	CHEAP	3	3	0	0	0	0	0	0	0	0	0	0
WHITE	CLEVER	0	0	0	0	1	1	0	0	5	3	0	0
WHITE	SILVER	4	2	2	0	2	1	0	1	8	7	0	0
WHITE	IRON	0	0	0	0	1	0	0	1	0	0	0	0
WHITE	BEAUTIFUL	0	0	0	0	1	1	0	0	0	0	0	0
WHITE	CLEAN	2	2	0	0	2	1	0	1	0	0	4	4
WHITE	MILK	5	4	1	0	1	0	0	1	0	0	0	0
WHITE	EMPTY	3	3	0	0	0	0	0	0	0	0	0	0
WHITE	INNOCENT	1	1	0	0	1	1	0	0	0	0	0	0
WHITE	WHEAT	2	0	2	0	0	0	0	0	4	3	0	0
WHITE	GOOD	1	1	0	0	1	1	0	0	0	0	0	0
WHITE	EGG	0	0	0	0	1	0	1	0	0	0	0	0
NOSE	CAPE	10	10	0	0	6	5	1	0	7	5	8	5
NOSE	NOSTRIL	7	3	4	0	8	7	1	0	149	37	6	2
NOSE	FACE	1	0	1	0	2	0	1	1	4	3	0	0
NOSE	BEAK	2	2	0	0	9	8	0	1	8	4	26	17
NOSE	CORNER	0	0	0	0	1	1	0	0	0	0	0	0
NOSE	NASAL MUCUS (SNOT)	0	0	0	0	3	3	0	0	28	15	10	5
NOSE	END (OF SPACE)	1	1	0	0	1	1	0	0	0	0	2	2
NOSE	MOUTH	0	0	0	0	1	0	0	1	0	0	0	0
NOSE	BRAIN	0	0	0	0	1	1	0	0	0	0	0	0
NOSE	PENIS	0	0	0	0	1	1	0	0	0	0	0	0
NOSE	CHEEK	0	0	0	0	1	0	0	1	0	0	0	0
BLACK	BURNING	0	0	0	0	1	0	0	1	0	0	0	0
BLACK	BAD	7	6	1	0	0	0	0	0	0	0	0	0
BLACK	BRUISE	0	0	0	0	1	0	1	0	3	3	0	0
BLACK	WOMAN	0	0	0	0	1	1	0	0	0	0	0	0
BLACK	MANY	1	1	0	0	1	1	0	0	0	0	0	0
BLACK	PRIEST	4	1	2	1	1	0	1	0	2	2	0	0
BLACK	BEAUTIFUL	0	0	0	0	1	1	0	0	0	0	0	0
BLACK	SEASON	0	0	0	0	1	1	0	0	0	0	0	0
BLACK	BLUE	0	0	0	0	3	3	0	0	2	2	3	3
THROW	LEAVE	8	8	0	0	5	4	1	0	4	2	2	2
THROW	LIE (MISLEAD)	0	0	0	0	1	1	0	0	4	3	0	0
THROW	RUN	1	1	0	0	3	0	3	0	0	0	0	0
THROW	JUMP	0	0	0	0	1	1	0	0	3	3	2	2
THROW	TEAR (SHRED)	0	0	0	0	2	1	0	1	0	0	0	0
THROW	SHOOT	2	2	0	0	7	7	0	0	8	4	20	10
THROW	SPEAK	2	2	0	0	0	0	0	0	0	0	0	0
THROW	KICK	1	1	0	0	0	0	0	0	0	0	0	0
THROW	COPULATE	1	1	0	0	0	0	0	0	0	0	0	0
THROW	PAINTING	1	1	0	0	0	0	0	0	0	0	0	0
THROW	SOW SEEDS	4	4	0	0	19	19	0	0	6	3	5	5
RED	BEAUTIFUL	0	0	0	0	4	3	0	1	0	0	0	0
RED	RISE (MOVE UPWARDS)	0	0	0	0	1	1	0	0	0	0	0	0
RED	GOLD	1	0	0	1	3	2	0	1	0	0	0	0
RED	RICH	1	1	0	0	0	0	0	0	0	0	0	0
RED	NAKED	1	1	0	0	0	0	0	0	0	0	0	0
RED	YOLK	1	0	1	0	0	0	0	0	16	7	0	0
RED	WORM	0	0	0	0	2	0	2	0	0	0	0	0
RED	BLOOD	1	0	1	0	4	2	2	0	0	0	3	3
RED	BLUE	0	0	0	0	3	3	0	0	0	0	0	0
BIG	HEAVY	0	0	0	0	1	1	0	0	0	0	0	0
BIG	THICK	0	0	0	0	1	1	0	0	4	4	8	7
BIG	BRAVE	0	0	0	0	1	1	0	0	13	7	2	2
BIG	THUMB	1	0	1	0	1	0	1	0	47	17	0	0
BIG	LOUD	1	1	0	0	2	2	0	0	27	6	17	4
BIG	TALL	3	3	0	0	0	0	0	0	2	2	17	8
BIG	PROUD	1	1	0	0	0	0	0	0	9	5	0	0
BIG	PREGNANT	0	0	0	0	1	1	0	0	3	3	0	0
BIG	HEALTHY	0	0	0	0	1	1	0	0	0	0	0	0
BIG	HORSE	0	0	0	0	2	2	0	0	0	0	0	0
BIG	FATHER	0	0	0	0	4	4	0	0	0	0	0	0
TAIL	END (OF SPACE)	5	4	1	0	1	1	0	0	3	2	4	3
TAIL	BUTTOCKS	0	0	0	0	1	1	0	0	0	0	5	3
TAIL	RUDDER	0	0	0	0	2	2	0	0	12	3	0	0
TAIL	BEHIND	1	0	1	0	0	0	0	0	0	0	0	0
TAIL	PENIS	4	3	0	1	3	3	0	0	0	0	7	3
TAIL	FOLLOW	1	0	1	0	0	0	0	0	0	0	0	0
TAIL	BRAID	1	1	0	0	0	0	0	0	3	2	0	0
TAIL	NAVEL	1	1	0	0	0	0	0	0	0	0	0	0
TAIL	FOX	1	0	1	0	1	0	0	1	0	0	0	0
STRAIGHT	RIGHT	1	0	1	0	3	3	0	0	6	5	12	6
STRAIGHT	CORRECT (RIGHT)	4	4	0	0	9	9	0	0	8	4	63	18
STRAIGHT	EASY	1	0	0	1	0	0	0	0	0	0	0	0
STRAIGHT	HEALTHY	0	0	0	0	2	0	2	0	0	0	0	0
STRAIGHT	IMMEDIATELY	0	0	0	0	1	0	1	0	0	0	0	0
FOLLOW	SIMILAR	12	12	0	0	2	2	0	0	0	0	0	0
FOLLOW	FRIEND	1	0	1	0	0	0	0	0	0	0	0	0
FOLLOW	COPULATE	1	1	0	0	0	0	0	0	0	0	0	0
FOLLOW	NEAR	1	1	0	0	0	0	0	0	0	0	0	0
FOLLOW	READ	1	1	0	0	0	0	0	0	0	0	0	0
FOLLOW	HELP	1	1	0	0	0	0	0	0	0	0	0	0
THIN (OF SHAPE OF OBJECT)	LIGHT (COLOR)	0	0	0	0	1	1	0	0	0	0	0	0
THIN (OF SHAPE OF OBJECT)	NARROW	0	0	0	0	1	1	0	0	4	4	23	17
THIN (OF SHAPE OF OBJECT)	YOUNG	1	1	0	0	0	0	0	0	0	0	0	0
THIN (OF SHAPE OF OBJECT)	SMALL	0	0	0	0	1	0	0	1	0	0	5	5
THIN (OF SHAPE OF OBJECT)	BACK	1	0	1	0	0	0	0	0	0	0	0	0
HOT	SHARP	0	0	0	0	1	1	0	0	0	0	0	0
HOT	FEVER	5	3	2	0	4	3	1	0	21	9	14	11
HOT	DIFFICULT	1	1	0	0	0	0	0	0	0	0	0	0
HOT	DRUNK	2	2	0	0	0	0	0	0	0	0	0	0
HOT	BITTER	0	0	0	0	1	1	0	0	0	0	0	0
HEAVY	STUPID	0	0	0	0	1	1	0	0	0	0	0	0
HEAVY	DIFFICULT	10	10	0	0	10	10	0	0	0	0	35	5
HEAVY	EXPENSIVE	3	2	0	1	3	3	0	0	0	0	4	3
HEAVY	PREGNANT	18	12	5	1	4	4	0	0	6	4	8	5
HEAVY	BAD	1	1	0	0	2	2	0	0	0	0	0	0
HEAVY	SLOW	0	0	0	0	2	2	0	0	0	0	0	0
HEAVY	RICH	0	0	0	0	1	1	0	0	0	0	0	0
HEAVY	BIG	0	0	0	0	1	1	0	0	0	0	0	0
TOUCH	TASTE (SOMETHING)	0	0	0	0	1	1	0	0	0	0	0	0
TOUCH	SEIZE	0	0	0	0	1	1	0	0	0	0	2	2
TOUCH	RUN	1	0	0	1	0	0	0	0	0	0	0	0
TOUCH	MAD	2	0	2	0	0	0	0	0	0	0	0	0
TOUCH	TRY	0	0	0	0	1	1	0	0	0	0	3	3
TOUCH	RELATIVES	0	0	0	0	1	1	0	0	0	0	0	0
SEIZE	UNDERSTAND	29	22	3	4	19	18	0	1	7	2	0	0
SEIZE	LIGHT (IGNITE)	0	0	0	0	2	1	0	1	7	6	0	0
SEIZE	LEARN	1	1	0	0	0	0	0	0	2	2	0	0
SEIZE	SERVANT	1	0	1	0	0	0	0	0	0	0	0	0
SEIZE	EAT	1	1	0	0	1	1	0	0	2	2	0	0
SEIZE	STEAL	5	5	0	0	0	0	0	0	0	0	0	0
SEIZE	TOUCH	0	0	0	0	1	1	0	0	4	4	2	2
SEIZE	FRIEND	0	0	0	0	1	0	0	1	0	0	0	0
SEIZE	LIFT	0	0	0	0	1	1	0	0	5	3	0	0
GO OUT	DISAPPEAR	0	0	0	0	1	1	0	0	0	0	0	0
GO OUT	RISE (MOVE UPWARDS)	3	3	0	0	3	2	1	0	0	0	4	3
GO OUT	GO UP (ASCEND)	2	2	0	0	2	2	0	0	0	0	2	2
CUT	STRIKE OR BEAT	0	0	0	0	1	1	0	0	0	0	0	0
CUT	UNDERSTAND	1	1	0	0	0	0	0	0	0	0	0	0
CUT	PAIN	5	4	1	0	4	4	0	0	0	0	0	0
CUT	COPULATE	1	1	0	0	0	0	0	0	0	0	0	0
CUT	MOW	1	1	0	0	5	3	0	2	10	8	31	11
CUT	POOR	1	1	0	0	0	0	0	0	0	0	0	0
DRY	HARD	0	0	0	0	2	2	0	0	0	0	0	0
DRY	LAND	4	1	3	0	0	0	0	0	0	0	0	0
DRY	BAD	0	0	0	0	1	1	0	0	0	0	0	0
DRY	DIRTY	0	0	0	0	1	1	0	0	0	0	0	0
COLD	WINTER	0	0	0	0	2	1	0	1	39	12	4	4
COLD	SLOW	1	1	0	0	0	0	0	0	0	0	0	0
COLD	STUPID	1	1	0	0	2	1	1	0	0	0	0	0
SNAKE	FRESHWATER EEL	3	0	3	0	2	2	0	0	16	7	0	0
SNAKE	LIZARD	0	0	0	0	1	0	0	1	8	5	0	0
SNAKE	PENIS	1	0	0	1	0	0	0	0	0	0	0	0
SNAKE	RAINBOW	0	0	0	0	1	1	0	0	3	3	0	0
SNAKE	WORM	0	0	0	0	9	6	0	3	13	6	13	3
HEART	BRAVE	9	4	5	0	2	1	0	1	6	6	0	0
HEART	INTESTINES	4	4	0	0	0	0	0	0	0	0	0	0
HEART	MIND	1	1	0	0	1	1	0	0	4	4	7	6
HEART	INSIDE	1	1	0	0	3	3	0	0	0	0	0	0
HEART	CHEST	0	0	0	0	1	1	0	0	10	3	4	4
HEART	KIDNEY	0	0	0	0	1	0	0	1	0	0	0	0
HEALTHY	STRAIGHT	0	0	0	0	2	0	2	0	0	0	0	0
HEALTHY	CLEVER	0	0	0	0	1	1	0	0	0	0	0	0
HEALTHY	CLEAN	0	0	0	0	1	1	0	0	0	0	0	0
HEALTHY	GREEN	0	0	0	0	1	1	0	0	0	0	0	0
HEALTHY	CORRECT (RIGHT)	0	0	0	0	9	8	0	1	2	2	4	4
HEALTHY	BIG	0	0	0	0	1	1	0	0	0	0	0	0
HEALTHY	SUN	0	0	0	0	1	1	0	0	0	0	0	0
HEALTHY	BRAVE	1	1	0	0	0	0	0	0	0	0	0	0
HEALTHY	HAPPY	0	0	0	0	3	3	0	0	0	0	2	2
WIND	AIR	1	1	0	0	11	10	0	1	4	3	39	25
WIND	WINDOW	3	0	3	0	0	0	0	0	0	0	0	0
WIND	ANGER	1	1	0	0	0	0	0	0	0	0	0	0
WIND	SAILCLOTH	3	0	3	0	3	1	2	0	4	2	0	0
WIND	SOUL	1	0	1	0	1	1	0	0	0	0	2	2
WIND	AUTUMN	0	0	0	0	1	1	0	0	0	0	0	0
WEAK	WET	0	0	0	0	2	2	0	0	0	0	0	0
WEAK	BAD	5	5	0	0	1	0	0	1	0	0	0	0
WEAK	SLOW	0	0	0	0	1	0	0	1	0	0	0	0
WEAK	STUPID	2	1	0	1	4	3	0	1	0	0	0	0
WEAK	POOR	0	0	0	0	3	3	0	0	0	0	0	0
WEAK	LAZY	0	0	0	0	3	3	0	0	0	0	5	5
WEAK	PREGNANT	1	1	0	0	0	0	0	0	0	0	0	0
WEAK	LOW	0	0	0	0	1	1	0	0	0	0	0	0
WEAK	SOFT	0	0	0	0	4	4	0	0	2	2	14	8
PRESS	GUESS	0	0	0	0	1	1	0	0	0	0	0	0
PRESS	APPROACH	0	0	0	0	2	2	0	0	0	0	0	0
PRESS	CHOKE	0	0	0	0	1	0	0	1	3	2	0	0
PRESS	SUCK	1	1	0	0	0	0	0	0	0	0	0	0
PRESS	BRAVE	0	0	0	0	1	1	0	0	0	0	0	0
PRESS	GREEDY	2	0	2	0	0	0	0	0	0	0	0	0
STONE OR ROCK	GLASS	2	2	0	0	0	0	0	0	0	0	2	2
STONE OR ROCK	EYE	0	0	0	0	3	2	0	1	0	0	0	0
STONE OR ROCK	PRISON	1	1	0	0	0	0	0	0	0	0	0	0
STONE OR ROCK	SKY	1	1	0	0	0	0	0	0	0	0	0	0
STONE OR ROCK	COLOR	1	1	0	0	0	0	0	0	0	0	0	0
STONE OR ROCK	TESTICLES	3	3	0	0	0	0	0	0	3	2	4	2
STONE OR ROCK	FOREHEAD	0	0	0	0	1	1	0	0	0	0	0	0
SKY	TOP	0	0	0	0	2	2	0	0	0	0	6	5
SKY	YEAR	0	0	0	0	1	1	0	0	0	0	6	2
SKY	BLUE	1	1	0	0	3	1	2	0	17	2	0	0
SKY	WEATHER	2	1	1	0	5	4	1	0	5	5	7	4
SKY	GOD	1	0	1	0	9	8	0	1	9	8	4	3
SKY	DAY (NOT NIGHT)	1	1	0	0	1	1	0	0	0	0	2	2
SKY	WORLD	0	0	0	0	1	1	0	0	11	3	2	2
SKY	CLOUD	1	1	0	0	4	1	0	3	18	14	15	6
SKY	LIGHT (RADIATION)	0	0	0	0	1	1	0	0	6	4	0	0
SMALL	THIN (OF SHAPE OF OBJECT)	0	0	0	0	1	0	0	1	3	3	5	5
SMALL	SLOW	1	0	1	0	0	0	0	0	2	2	0	0
SMALL	YOUNG	3	3	0	0	1	1	0	0	5	4	12	10
SMALL	GIRL	1	0	1	0	0	0	0	0	13	10	0	0
SMALL	BOY	1	0	1	0	0	0	0	0	16	11	0	0
SMALL	STUPID	1	1	0	0	0	0	0	0	0	0	0	0
SMALL	GRIND	0	0	0	0	2	0	1	1	0	0	0	0
GREEN	YELLOW	1	1	0	0	25	23	0	2	2	2	8	8
GREEN	PLANT (VEGETATION)	7	5	2	0	1	0	1	0	0	0	0	0
GREEN	YOUNG	6	5	1	0	5	5	0	0	0	0	0	0
GREEN	RAW	0	0	0	0	1	1	0	0	0	0	7	7
GREEN	UNRIPE	4	4	0	0	1	1	0	0	3	3	75	19
GREEN	HEALTHY	0	0	0	0	1	1	0	0	0	0	0	0
GREEN	LEAF	1	0	0	1	0	0	0	0	0	0	0	0
GREEN	GRASS	0	0	0	0	1	0	0	1	2	2	0	0
GREEN	BLUE	0	0	0	0	1	1	0	0	0	0	56	29
EMPTY	CLEAN	0	0	0	0	2	2	0	0	0	0	0	0
EMPTY	STUPID	1	1	0	0	1	1	0	0	0	0	0	0
EMPTY	THIN (OF SHAPE OF OBJECT)	1	0	0	1	0	0	0	0	0	0	2	2
EMPTY	POOR	1	1	0	0	0	0	0	0	3	3	0	0
EMPTY	NAKED	0	0	0	0	2	2	0	0	5	5	0	0
EMPTY	ONLY	0	0	0	0	3	2	0	1	2	2	0	0
BACK	SHOULDER	0	0	0	0	2	1	0	1	2	2	5	5
BACK	BEHIND	6	4	1	1	3	1	1	1	22	12	11	5
BACK	HARD	1	0	1	0	1	0	1	0	0	0	0	0
BACK	RIB	0	0	0	0	1	0	1	0	0	0	0	0
GO UP (ASCEND)	GO OUT	0	0	0	0	2	2	0	0	5	2	2	2
GO UP (ASCEND)	RISE (MOVE UPWARDS)	3	3	0	0	0	0	0	0	10	10	60	24
GO UP (ASCEND)	DIFFICULT	0	0	0	0	1	1	0	0	0	0	0	0
FACE	MOUTH	0	0	0	0	7	6	0	1	0	0	7	3
FACE	EYE	0	0	0	0	2	1	1	0	6	3	25	10
FACE	CHEEK	1	1	0	0	8	5	0	3	21	12	14	10
FACE	MANNER	0	0	0	0	2	2	0	0	2	2	0	0
FACE	SIDE	0	0	0	0	1	1	0	0	2	2	0	0
FACE	RULE	1	1	0	0	0	0	0	0	0	0	0	0
FACE	NOSE	0	0	0	0	2	0	1	1	0	0	0	0
DOG	PROSTITUTE	3	2	1	0	3	2	0	1	0	0	0	0
DOG	WOLF	1	1	0	0	0	0	0	0	32	10	0	0
DOG	FLEA	1	1	0	0	0	0	0	0	13	10	0	0
DOG	HORSE	2	1	1	0	0	0	0	0	2	2	0	0
DOG	MOON	0	0	0	0	4	4	0	0	0	0	0	0
WEATHER	AIR	0	0	0	0	6	6	0	0	0	0	44	8
WEATHER	GOD	1	1	0	0	0	0	0	0	3	2	0	0
WEATHER	TIME	0	0	0	0	6	6	0	0	0	0	28	11
WEATHER	AGE	0	0	0	0	1	1	0	0	0	0	2	2
WEATHER	SKY	0	0	0	0	5	4	1	0	4	2	7	4
WEATHER	DAY (NOT NIGHT)	0	0	0	0	2	2	0	0	0	0	10	8
WEATHER	WORLD	0	0	0	0	1	1	0	0	5	3	7	5
TREE	FIREWOOD	0	0	0	0	2	2	0	0	16	8	10	10
TREE	WOOD	0	0	0	0	4	4	0	0	15	10	105	38
TREE	FOREST	0	0	0	0	2	2	0	0	22	13	12	5
TREE	CLUB	0	0	0	0	3	1	0	2	16	10	10	10
TREE	SPEAR	1	1	0	0	1	1	0	0	0	0	0	0
TREE	FIRE	10	1	9	0	36	34	1	1	0	0	0	0
TREE	OAK	0	0	0	0	1	0	0	1	31	8	0	0
SPEAK	READ	0	0	0	0	3	2	0	1	12	10	2	2
SPEAK	SHOW	0	0	0	0	3	0	0	3	4	2	0	0
SPEAK	PROMISE	1	1	0	0	0	0	0	0	7	6	0	0
SPEAK	SHAKE	0	0	0	0	1	1	0	0	2	2	0	0
SPEAK	STRIKE OR BEAT	0	0	0	0	1	1	0	0	2	2	0	0
SPEAK	PLAY	0	0	0	0	2	2	0	0	0	0	2	2
SPEAK	GRIND	0	0	0	0	2	2	0	0	0	0	0	0
SPEAK	THROW	0	0	0	0	0	0	0	0	0	0	0	0
GET	FIND	0	0	0	0	2	2	0	0	7	4	20	11
GET	TAKE	0	0	0	0	10	10	0	0	2	2	51	18
GET	HEAR	1	1	0	0	0	0	0	0	12	5	0	0
GET	CATTLE	0	0	0	0	2	0	2	0	0	0	0	0
GET	COME	0	0	0	0	3	3	0	0	0	0	8	2
